"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"New York City to mandate Covid vaccinations for all private workers, de Blasio says. #covid19 #vaccine  https://t.co/cgPwJtY7h7",FALSE,0,NA,2021-12-06 16:11:03,FALSE,NA,"1467889333013205005",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","janniegramza",0,FALSE,FALSE,NA,NA
"RT @HubBucket: 🇺🇸 Everyone at @HubBucket is Fully #Vaccinated

✅ 1st #COVID19 #Vaccine Shot/Jab
✅ 2nd #COVID19 #Vaccine Shot/Jab
✅ #COVID19…",FALSE,0,NA,2021-12-06 16:11:02,FALSE,NA,"1467889326650441730",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HubBucket",1,TRUE,FALSE,NA,NA
"RT @DrToddWo: So proud of our @kidspluspgh team which has given 1st &amp; 2nd doses of #COVID19 #vaccine to ~1500 kids ages 5-11 yrs old!
This…",FALSE,0,NA,2021-12-06 16:10:54,FALSE,NA,"1467889295566553106",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kidspluspgh",4,TRUE,FALSE,NA,NA
"RT @Sjopinion10: Medical emergency in the stands #WatChe 

Medical emergency in the stands Southampton v Leicester …

Significant Unexplain…",FALSE,0,NA,2021-12-06 16:10:51,FALSE,NA,"1467889283113660416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BradHicks20",1412,TRUE,FALSE,NA,NA
"RT @ProsumerSoft: 🇺🇸 Everyone at @ProsumerSoft is Fully #Vaccinated

✅ 1st #COVID19 #Vaccine Shot/Jab
✅ 2nd #COVID19 #Vaccine Shot/Jab
✅ #C…",FALSE,0,NA,2021-12-06 16:10:45,FALSE,NA,"1467889255628386315",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HubBucket",2,TRUE,FALSE,NA,NA
"Early data from South Africa hints #Omicron #variant may cause less severe #Covid, but more research is needed… https://t.co/F88ljOxBQH",FALSE,0,NA,2021-12-06 16:09:45,TRUE,NA,"1467889004746059777",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","DNABARCODE",0,FALSE,FALSE,NA,NA
"RT @Rosenchild: 🇺🇸 All of my staff at @HubBucket Inc and @ProsumerSoft LLC are FULLY #Vaccinated 

✅ 1st #COVID19 #Vaccine Shot/Jab
✅ 2nd #…",FALSE,0,NA,2021-12-06 16:08:40,FALSE,NA,"1467888733672378373",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HubBucket",2,TRUE,FALSE,NA,NA
"Make sure you and your family members (6mos and older) get a flu #vaccine BEFORE gathering during the winter holida… https://t.co/6ZKm2kD7yl",FALSE,1,NA,2021-12-06 16:07:53,TRUE,NA,"1467888534065455110",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","immunizenjnow",0,FALSE,FALSE,NA,NA
"@VaccToken is one of the great project with a clear road map with experienced and successful team.I hope this proje… https://t.co/RwmnQE7Odw",FALSE,0,"VaccToken",2021-12-06 16:07:49,TRUE,NA,"1467888517145509891","1424492202294665220","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbulBasharTuhin",0,FALSE,FALSE,NA,NA
"Please Rt. 

Has anyone traveler from EU to Pakistan with Saudia Airlines during covid times? #SaudiaAirlines… https://t.co/FNMgfTmaUX",FALSE,0,NA,2021-12-06 16:07:33,TRUE,NA,"1467888452763099136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LordMuneeb",0,FALSE,FALSE,NA,NA
"#NewYorkCity will require all private-sector workers be fully vaccinated against Covid-19, in what Mayor Bill de Bl… https://t.co/lvYwFJL8Hu",FALSE,0,NA,2021-12-06 16:06:53,TRUE,NA,"1467888284978368514",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","traderDanielle",0,FALSE,FALSE,NA,NA
"RT @JKDENTALORTHO: Computer made metal free crown at @JKDENTALORTHO , Ahmedabad.
Visit us for your one step dental solution. #Chandkheda #m…",FALSE,0,NA,2021-12-06 16:06:47,FALSE,NA,"1467888258700906497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","keval_r_patel",1,TRUE,FALSE,NA,NA
"RT @kaloyanides: I had the virus. I was fine.

How can anyone justify mandating I take the vaccine?

With the vaccine, I could still get an…",FALSE,0,NA,2021-12-06 16:06:03,FALSE,NA,"1467888074579402754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daniel_san_dojo",1,TRUE,FALSE,NA,NA
